State,Year,Quarter,Transacion_type,Transacion_count,Transacion_amount,Latitude,Longitude
andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272,10.7449,92.5
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478,10.7449,92.5
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996,10.7449,92.5
andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458,10.7449,92.5
andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653,10.7449,92.5
andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228,10.7449,92.5
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,10.7449,92.5
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121,10.7449,92.5
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908464,10.7449,92.5
andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710336,10.7449,92.5
andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562,10.7449,92.5
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996,10.7449,92.5
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055,10.7449,92.5
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328,10.7449,92.5
andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573,10.7449,92.5
andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162,10.7449,92.5
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582,10.7449,92.5
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755,10.7449,92.5
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358,10.7449,92.5
andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068,10.7449,92.5
andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944,10.7449,92.5
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477,10.7449,92.5
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305,10.7449,92.5
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266,10.7449,92.5
andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.022951186,10.7449,92.5
